"groupid","id","ymd","year","month","day","doy","yfrac","time","platform","group","n","n_bnf","lat","lon","bhvr","stage"
"Wall2014062501",1,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",1,3,3,NA,NA,"BNF","A"
"Wall2014062501",2,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062501",3,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062502",4,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",2,0,0,NA,NA,"TR","A"
"Wall2014062512",5,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",12,4,4,NA,NA,"BNF","A"
"Wall2014062512",6,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",12,0,0,NA,NA,"BNF","A"
"Wall2014062512",7,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",12,0,0,NA,NA,"BNF","A"
"Wall2014062512",8,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",12,0,0,NA,NA,"BNF","A"
"Wall2014062513",9,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",13,1,1,NA,NA,"BNF","A"
"Wall2014062514",10,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",14,3,3,NA,NA,"BNF","A"
"Wall2014062514",5,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",14,0,0,NA,NA,"BNF","A"
"Wall2014062514",11,"2014-06-25","2014",6,25,176,2014.48219178082,NA,"Wall",14,0,0,NA,NA,"BNF","A"
"Wall2014062601",11,"2014-06-26","2014",6,26,177,2014.48493150685,NA,"Wall",1,4,4,NA,NA,"BNF","A"
"Wall2014062601",2,"2014-06-26","2014",6,26,177,2014.48493150685,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062601",3,"2014-06-26","2014",6,26,177,2014.48493150685,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062601",1,"2014-06-26","2014",6,26,177,2014.48493150685,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062603",4,"2014-06-26","2014",6,26,177,2014.48493150685,NA,"Wall",3,0,0,NA,NA,"TR","M"
"Wall2014062605",10,"2014-06-26","2014",6,26,177,2014.48493150685,NA,"Wall",5,0,0,NA,NA,"TR","A"
"Wall2014062607",9,"2014-06-26","2014",6,26,177,2014.48493150685,NA,"Wall",7,3,3,NA,NA,"BNF","0"
"Wall2014062607",7,"2014-06-26","2014",6,26,177,2014.48493150685,NA,"Wall",7,0,0,NA,NA,"BNF","0"
"Wall2014062607",5,"2014-06-26","2014",6,26,177,2014.48493150685,NA,"Wall",7,0,0,NA,NA,"BNF","0"
"Wall2014062703",11,"2014-06-27","2014",6,27,178,2014.48767123288,NA,"Wall",3,0,0,NA,NA,"TR","A"
"Wall2014062703",5,"2014-06-27","2014",6,27,178,2014.48767123288,NA,"Wall",3,0,0,NA,NA,"TR","A"
"Wall2014062703",1,"2014-06-27","2014",6,27,178,2014.48767123288,NA,"Wall",3,0,0,NA,NA,"TR","A"
"Wall2014062703",2,"2014-06-27","2014",6,27,178,2014.48767123288,NA,"Wall",3,0,0,NA,NA,"TR","A"
"Wall2014062703",3,"2014-06-27","2014",6,27,178,2014.48767123288,NA,"Wall",3,0,0,NA,NA,"TR","A"
"Wall2014062703",4,"2014-06-27","2014",6,27,178,2014.48767123288,NA,"Wall",3,0,0,NA,NA,"TR","M"
"Wall2014062801",1,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",1,8,8,NA,NA,"BNF","A"
"Wall2014062801",2,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062801",10,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062801",3,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062801",12,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",1,0,0,NA,NA,"BNF","M"
"Wall2014062801",13,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062801",4,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",1,0,0,NA,NA,"BNF","M"
"Wall2014062801",14,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",1,0,0,NA,NA,"MI-TR","A"
"Wall2014062802",15,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",2,0,0,NA,NA,"TR","A"
"Wall2014062810",16,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",10,1,1,NA,NA,"BNF","A"
"Wall2014062812",17,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",12,6,6,NA,NA,"BNF","A"
"Wall2014062812",1,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",12,0,0,NA,NA,"BNF","A"
"Wall2014062812",14,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",12,0,0,NA,NA,"BNF","A"
"Wall2014062812",5,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",12,0,0,NA,NA,"BNF","A"
"Wall2014062812",2,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",12,0,0,NA,NA,"BNF","A"
"Wall2014062812",7,"2014-06-28","2014",6,28,179,2014.4904109589,NA,"Wall",12,0,0,NA,NA,"BNF","A"
"Wall2014062901",1,"2014-06-29","2014",6,29,180,2014.49315068493,NA,"Wall",1,7,7,NA,NA,"BNF","A"
"Wall2014062901",2,"2014-06-29","2014",6,29,180,2014.49315068493,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062901",8,"2014-06-29","2014",6,29,180,2014.49315068493,NA,"Wall",1,0,0,NA,NA,"BNF","0"
"Wall2014062901",3,"2014-06-29","2014",6,29,180,2014.49315068493,NA,"Wall",1,0,0,NA,NA,"BNF","0"
"Wall2014062901",14,"2014-06-29","2014",6,29,180,2014.49315068493,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014062901",10,"2014-06-29","2014",6,29,180,2014.49315068493,NA,"Wall",1,0,0,NA,NA,"BNF","0"
"Wall2014062901",5,"2014-06-29","2014",6,29,180,2014.49315068493,NA,"Wall",1,0,0,NA,NA,"BNF","0"
"Wall2014063001",18,"2014-06-30","2014",6,30,181,2014.49589041096,NA,"Wall",1,0,0,NA,NA,"BNF","A"
"Wall2014063002",2,"2014-06-30","2014",6,30,181,2014.49589041096,NA,"Wall",2,4,4,NA,NA,"BNF","A"
"Wall2014063002",1,"2014-06-30","2014",6,30,181,2014.49589041096,NA,"Wall",2,0,0,NA,NA,"BNF","A"
"Wall2014063002",3,"2014-06-30","2014",6,30,181,2014.49589041096,NA,"Wall",2,0,0,NA,NA,"BNF","A"
"Wall2014063002",14,"2014-06-30","2014",6,30,181,2014.49589041096,NA,"Wall",2,0,0,NA,NA,"BNF","A"
"Wall2014070401",19,"2014-07-04","2014",7,4,185,2014.50684931507,NA,"Wall",1,0,0,NA,NA,"TR","A"
"Wall2014070501",4,"2014-07-05","2014",7,5,186,2014.5095890411,NA,"Wall",1,0,0,NA,NA,"TR","A"
"Wall2014070801",2,"2014-07-08","2014",7,8,189,2014.51780821918,NA,"Wall",1,0,0,NA,NA,"TR","A"
"Wall2014070902",1,"2014-07-09","2014",7,9,190,2014.52054794521,NA,"Wall",2,7,7,NA,NA,"BNF","A"
"Wall2014070902",2,"2014-07-09","2014",7,9,190,2014.52054794521,NA,"Wall",2,0,0,NA,NA,"BNF","A"
"Wall2014070902",10,"2014-07-09","2014",7,9,190,2014.52054794521,NA,"Wall",2,0,0,NA,NA,"BNF","A"
"Wall2014070902",5,"2014-07-09","2014",7,9,190,2014.52054794521,NA,"Wall",2,0,0,NA,NA,"BNF","A"
"Wall2014070902",9,"2014-07-09","2014",7,9,190,2014.52054794521,NA,"Wall",2,0,0,NA,NA,"BNF","A"
"Wall2014070902",20,"2014-07-09","2014",7,9,190,2014.52054794521,NA,"Wall",2,0,0,NA,NA,"BNF","A"
"Wall2014070902",21,"2014-07-09","2014",7,9,190,2014.52054794521,NA,"Wall",2,0,0,NA,NA,"BNF","A"
"Wall2014070909",22,"2014-07-09","2014",7,9,190,2014.52054794521,NA,"Wall",9,0,0,NA,NA,"TR","M"
"Wall2014071001",9,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",1,0,0,NA,NA,"ROBUST","A"
"Wall2014071006",21,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",6,5,5,NA,NA,"BNF","0"
"Wall2014071006",5,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",6,0,0,NA,NA,"BNF","0"
"Wall2014071006",1,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",6,0,0,NA,NA,"BNF","0"
"Wall2014071006",2,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",6,0,0,NA,NA,"BNF","0"
"Wall2014071006",5,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",6,0,0,NA,NA,"BNF","0"
"Wall2014071008",23,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",8,0,0,NA,NA,"TR","M"
"Wall2014071008",24,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",8,0,0,NA,NA,"TR","A"
"Wall2014071007",1,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",7,0,0,NA,NA,"BNF","2"
"Wall2014071007",14,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",7,0,0,NA,NA,"BNF","0"
"Wall2014071010",5,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",10,5,5,NA,NA,"BNF","A"
"Wall2014071010",4,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",10,0,0,NA,NA,"BNF","M"
"Wall2014071010",5,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",10,0,0,NA,NA,"BNF","A"
"Wall2014071010",1,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",10,0,0,NA,NA,"BNF","A"
"Wall2014071010",2,"2014-07-10","2014",7,10,191,2014.52328767123,NA,"Wall",10,0,0,NA,NA,"BNF","A"
